一级分类,二级分类,网站名称,网址,描述,图标,站点ID
热门推荐,,免翻GPT-Image-2,https://www.katuai.cn/?from=xiaozhongjishu,免费使用，生图/改图，效果炸裂！,https://www.xiaozhongjishu.com/wp-content/uploads/2026/05/1778224713-微信图片_20260506135209_165_2920.jpg,3854
热门推荐,,GPT官网国内直连,https://oai.oooai.cc/list/#/register?inviter=PUW386,世界顶级AI四合一镜像站点，原生官网使用。（GPT、Claude、Gemni、Grok）,https://www.xiaozhongjishu.com/wp-content/uploads/2026/03/1773313854-openai.png,3873
热门推荐,,Codex学术版,https://qiewenpaper.com/app/search?utm_source=xzjs,3.6亿真实文献 “0”幻觉,https://www.xiaozhongjishu.com/wp-content/uploads/2026/07/1784165472-微信图片_20260715154003_100_1535.jpg,3982
热门推荐,,全平台视频下载工具,https://www.vidbrowser.net/zh-cn,支持onlyfans、Youtube、X、fansly等10000+平台的视频、图片批量免费下载，只要网页中存在视频资源，Vidbrowser就能帮你下载到本地,https://www.xiaozhongjishu.com/wp-content/uploads/2026/09/1788419885-微信图片_20260903151414_35_471.jpg,4002
热门推荐,,莆田潮牌鞋服一手货源,https://xie.yixuev.com?xzjs.,莆田潮牌基地，主营耐克、阿迪、匡威、新百伦、万斯、彪马等各大品牌鞋子、服饰、手表、耳机等！主打中高端品质，一手货源，全网最高性价比。,https://www.xiaozhongjishu.com/wp-content/uploads/2025/09/1757474865-95729cb41b05a1ed7e839e9249c300f2.jpg,3698
热门推荐,,盘搜吧·云盘资源,https://www.panso678.com/?from=xiaozhongjishu,体验最好的聚合云盘资源搜索平台，支持智能资源推荐，热门榜单，产品页面美观，超级好用！,https://www.xiaozhongjishu.com/wp-content/uploads/2026/04/1775346388-微信图片_20260404231520_123_2920.jpg,3906
热门推荐,,网盘资源搜索,https://www.pandashi8.com/?from=xiaozhongjishu,免费无广告，资源全，更新快！聚合型多网盘资源搜索工具，提供阿里云盘、夸克网盘、百度网盘等6大网盘资源搜索。,https://www.xiaozhongjishu.com/wp-content/uploads/2026/01/1767970833-微信图片_20260109172924_56_2920.jpg,3826
热门推荐,,国内NanoBananaPro,https://www.jiaotu.ai/?ref=xzjs,一句话轻松搞定复杂P图！,https://www.xiaozhongjishu.com/wp-content/uploads/2026/01/1768461293-8bdc128808579fbc0dc57cc66f127c14_v2-86e8f6d0a7fe72458261e0a71b19.png,3845
热门推荐,,iSlide-AI一键生成PPT,https://www.islide.cc/?mtm_campaign=xzjs-banner-2608_webmaster_test-1865138,AI 设计 PPT，只需一句标题,https://www.xiaozhongjishu.com/wp-content/uploads/2026/08/1788143487-ScreenShot_2026-08-31_103109_473.jpg,4000
热门推荐,,抖音视频文案提取,https://www.dousnap.com,全平台视频解析、字幕提取，最强扒素材神器，小红书/视频号/抖音文案提取一键打包下载,https://www.xiaozhongjishu.com/wp-content/uploads/2026/08/1786454609-微信图片_20260811143731_16_338.jpg,3993
